date,sampleType,PTotal,NTotal,TSS,NTU,NTULab,height,flow,temp,EC,turbidity,quantileFlow,eventDirection,eventDistance,df50,df75,df90,df95,df99
2/14/1994 16:04,R,0.017,0.57,3,4.68,4.68,0.537,271.097,26.45,NA,54.5,0,0,0,48.66547677,21.72866219,8.754900728,8.159610838,17.79408791
3/16/1994 9:51,R,0.005,0.36,2,0.88,0.88,0.534,266.34075,19.975,NA,46.775,0,0,0,302.7497234,233.7580792,151.2700831,115.2504841,69.89482667
4/13/1994 15:41,,0.1,1.5,57,105,105,0.385,79.8055,15,NA,46.125,0,0,0,53.68961138,50.40351397,64.87176572,82.67546804,87.60951786
4/17/1994 15:25,,0.05,0.82,7,36.8,36.8,1.20875,3152.2965,15.05,NA,20.875,1,2,704,5338.599056,4534.182754,2457.662485,1409.58916,585.5929304
5/19/1994 10:53,,0.005,0.39,1,0.54,0.54,0.425,118.19675,12.425,NA,44.175,0,0,0,124.8722166,125.5367304,249.3184525,470.1862695,569.6988795
6/20/1994 12:17,,0.005,0.23,1,1.91,1.91,0.44725,145.5835,10.825,NA,37.775,0,0,0,176.8896876,216.0672185,214.0677287,243.0418643,466.1451283
8/9/1994 10:18,,0.003,0.24,1,1.11,1.11,0.393,85.605,8,NA,42.125,0,0,0,89.05938174,90.18616428,96.28173065,107.1281041,123.2047408
9/26/1994 13:02,,0.005,0.25,1,0.71,0.71,0.27625,28.876,18.25,NA,49.25,0,0,0,30.33245778,32.80794362,39.95702199,50.37425949,71.64599392
11/3/1994 15:05,,0.003,0.22,1,0.9,0.9,0.203,11.24,20.2,NA,49.55,0,0,0,9.861497581,9.543644049,11.59462135,17.11965793,31.66365436
12/14/1994 10:40,,0.13,0.35,1,1.41,1.41,0.216,13.643,27.5,NA,50.65,0,0,0,15.57351672,17.94954741,22.61835261,23.28819247,21.72427218
1/24/1995 14:03,,0.01,0.31,1,5.4,5.4,NA,NA,25.15,NA,35.95,NA,0,NA,1.160234772,14.80280942,39.89378415,40.81644843,32.55853728
3/8/1995 15:53,,0.01,0.33,1,2.86,2.86,0.81275,943.2535,25.3,NA,16.525,1,2,6090,841.0444882,609.2456192,376.3941163,260.9387297,144.441979
4/20/1995 14:07,,0.01,0.33,1,1.17,1.17,0.563,313.404,18.125,NA,14.375,0,0,0,324.4230156,322.4227064,299.3485434,279.1255093,251.1442085
5/31/1995 11:37,,0.02,0.75,1,8.39,8.39,0.699,600.449,11.3,NA,20,1,2,1529,684.8921866,815.8556321,987.2529849,862.7383085,580.9269701
7/13/1995 9:41,,0.004,0.23,1,0.96,0.96,0.505,224.679,8.15,NA,29.5,0,0,0,234.4868399,229.024665,253.9269078,355.057561,525.7006326
8/21/1995 14:00,,0.01,0.43,1,1.23,1.23,0.42,111.901,16.175,NA,42.4,0,0,0,125.089001,146.2056596,228.3213303,314.6592577,394.6866107
9/25/1995 9:41,,0.14,1.3,217,241,241,0.6365,460.16125,15.7,NA,35.75,0,0,0,151.2963384,118.3735402,94.1304518,117.4940124,226.0730995
10/4/1995 11:57,,0.02,0.69,5,7.1,7.1,0.73125,693.635,16.3,NA,39.575,0,0,0,1069.329206,2439.938897,2890.324826,2128.067713,1132.718637
11/13/1995 12:56,,0.009,0.6,1,1.03,1.03,0.42525,118.22,23.275,NA,NA,0,0,0,145.1802619,139.9003789,214.5537423,504.4901034,897.2578194
12/28/1995 9:39,,0.15,0.38,1,1.11,1.11,0.404,95.218,NA,NA,NA,0,0,0,104.7292525,159.6173723,465.4943362,605.4417193,574.3075019
2/9/1996 13:09,,0.01,0.47,1,1.64,1.64,0.464,168.315,NA,NA,NA,0,0,0,159.9883314,199.4215076,330.1520506,414.3038858,539.0865089
3/20/1996 16:00,,0.009,0.42,1,2.68,2.68,0.35,60.079,23.7,NA,33.85,0,0,0,75.67366098,115.6052781,167.3675014,192.3907091,261.4564204
